,SKU,Item NamePrice,Reviews Num,1 Star Reviews,1 Star Images,2 Stars Reviews,2 Stars Images,3 Stars Reviews,3 Stars Images,4 Stars Reviews,4 Stars Images,5 Stars Reviews,5 Stars Images,Points Earnning,Style,Color,Pattern Type,Length,Type,Neckline,Sleeve Length,Sleeve Type,Placket Type,Details,Season,Composition,Material,Fabric,Sheer,Fit Type,Closure Type,Waist Line,Panty Type,Body,Chest pad,Bra Type,Bottom Type,Item Name,Price,Hem Shaped,Placket,Arabian Clothing,Top Type,Belt
158,swouter04200910397,,5332,46,5,62,12,149,33,386,110,4689,1217,21,Casual,Grey,Plain,Regular,Coat,V neck,Long Sleeve,Drop Shoulder,,Button Front,Spring/Fall,100% Acrylic,Acrylic,Non-Stretch,No,Oversized,,,,,,,,Button Front Drop Shoulder Oversized Cardigan,18.0,,,,,
159,swouter04200928171,,5332,46,5,62,12,149,33,386,110,4689,1217,21,Casual,Mustard Yellow,Plain,Regular,Cardigan,V neck,Long Sleeve,Drop Shoulder,,Button Front,Spring/Fall,100% Acrylic,Acrylic,Non-Stretch,No,Oversized,,,,,,,,Button Front Drop Shoulder Oversized Cardigan,18.0,,,,,
160,swtee07200903150,,10000,0,0,0,0,9999,2953,0,0,9999,2953,7,Casual,"Pastel, Mint Green",Plain,Crop,,Round Neck,Long Sleeve,Regular Sleeve,Pullovers,"Knot, Drawstring, Ruched, Rib-Knit",Spring/Summer,"95% Rayon, 5% Spandex",Rayon,Slight Stretch,No,Slim Fit,,,,,,,,SHEIN Drawstring Ruched Side Rib-knit Crop Tee,5.99,,,,,
161,swtee07200617533,,10000,0,0,0,0,0,0,0,0,9999,2953,7,Casual,White,Plain,Crop,,Round Neck,Long Sleeve,Regular Sleeve,Pullovers,"Knot, Drawstring, Ruched, Rib-Knit",Spring/Fall,"95% Rayon, 5% Spandex",Rayon,Slight Stretch,No,Slim Fit,,,,,,,,SHEIN Drawstring Ruched Side Rib-knit Crop Tee,5.99,,,,,
162,swtee07200812922,,10000,0,0,0,0,0,0,0,0,9999,2953,7,Casual,Black,Plain,Crop,,Round Neck,Long Sleeve,Regular Sleeve,Pullovers,"Drawstring, Ruched, Rib-Knit",Spring/Fall,"95% Rayon, 5% Spandex",Rayon,Slight Stretch,No,Slim Fit,,,,,,,,SHEIN Ribbed Ruched Drawstring Cropped Tee,5.99,,,,,
163,swtee07200812842,,10000,0,0,0,0,0,0,0,0,9999,2953,7,Casual,Mocha Brown,Plain,Crop,,Round Neck,Long Sleeve,Regular Sleeve,Pullovers,"Knot, Drawstring, Ruched, Rib-Knit",Spring/Summer,"95% Rayon, 5% Spandex",Rayon,Slight Stretch,No,Slim Fit,,,,,,,,SHEIN Drawstring Ruched Side Rib-knit Crop Tee,5.99,,,,,
164,swtee07200903529,,10000,0,0,0,0,0,0,0,0,9999,2953,7,Casual,Baby Pink,Plain,Crop,,Round Neck,Long Sleeve,Regular Sleeve,Pullovers,"Knot, Drawstring, Ruched, Rib-Knit",Spring/Summer,"95% Rayon, 5% Spandex",Rayon,Slight Stretch,No,Slim Fit,,,,,,,,SHEIN Drawstring Ruched Side Rib-knit Crop Tee,5.99,,,,,
165,swtee07201012929,,10000,0,0,0,0,0,0,0,0,9999,2953,7,Elegant,Baby Blue,Plain,Crop,,Round Neck,Long Sleeve,Regular Sleeve,Pullovers,"Knot, Drawstring, Ruched, Rib-Knit",Spring/Summer,"95% Rayon, 5% Spandex",Rayon,Slight Stretch,No,Slim Fit,,,,,,,,SHEIN Drawstring Ruched Side Rib-knit Crop Tee,5.99,,,,,
166,swvest07201126411,,290,1,0,2,0,4,1,26,3,258,31,3,Casual,Black and White,Animal,Crop,Cami,Spaghetti Strap,,,,Lettuce Trim,Summer,"8% Spandex, 92% Polyester",Polyester,Slight Stretch,No,Slim Fit,,,,,,,,SHEIN Lettuce Trim Cow Print Crop Cami Top,3.0,,,,,
167,swjumpsui23201008725,,294,2,0,0,0,6,3,9,4,278,53,30,Sporty,Black,Striped,Long,Sweatshirt,Stand Collar,Long Sleeve,Batwing Sleeve,,"Drawstring, Zipper",Spring/Fall,"35% Cotton, 65% Polyester",Polyester,Slight Stretch,No,Regular Fit,,High Waist,,,,,,Half Zip Batwing Sleeve Drawstring Waist Jumpsuit,25.0,,,,,
168,swvest00201120123,,0,0,0,0,0,0,0,0,0,0,0,4,Casual,Brown,Plain,Crop,Tank,Round Neck,,,,,Summer,"65% Cotton, 35% Polyester",Cotton,Slight Stretch,No,Slim Fit,,,,,,,,Crop Skinny Solid Tank Top,4.0,,,,,
169,swouter07200902120,,261,6,2,4,0,15,1,19,6,218,35,24,Casual,Black,Plain,Short,Other,Collar,Long Sleeve,Drop Shoulder,,Button Front,Fall/Winter,100% PU Leather,PU Leather,Slight Stretch,No,Regular Fit,,,,,,,,SHEIN Drop Shoulder Buttoned PU Leather Coat,20.0,,Single Breasted,,,
170,swtee07200908253,,299,2,1,5,1,7,1,18,1,267,50,4,Casual,Black,Plain,Crop,,Round Neck,Long Sleeve,Regular Sleeve,Pullovers,"Lettuce Trim, Rib-Knit",Spring/Summer,"3% Spandex, 97% Polyester",Polyester,Slight Stretch,No,Regular Fit,,,,,,,,SHEIN Lettuce Trim Rib-knit Tee,3.99,,,,,
171,swtee07201208035,,299,2,1,5,1,7,1,18,1,267,50,4,Casual,Brown,Plain,Crop,,Round Neck,Long Sleeve,Regular Sleeve,Pullovers,"Lettuce Trim, Rib-Knit",Spring/Summer,"3% Spandex, 97% Polyester",Polyester,Slight Stretch,No,Regular Fit,,,,,,,,SHEIN Lettuce Trim Rib-knit Tee,3.99,,,,,
172,swtee07201208550,,299,2,1,5,1,7,1,18,1,267,50,4,Casual,White,Plain,Crop,,Round Neck,Long Sleeve,Regular Sleeve,Pullovers,"Lettuce Trim, Rib-Knit",Spring/Summer,"3% Spandex, 97% Polyester",Polyester,Slight Stretch,No,Regular Fit,,,,,,,,SHEIN Lettuce Trim Rib-knit Tee,3.99,,,,,
173,swleg07200904654,,48,1,1,1,0,0,0,3,1,43,13,18,Glamorous,Black,Plain,Cropped,Regular,,,,,,All,"30% Nylon, 65% Rayon, 5% Spandex",Rayon,Slight Stretch,No,,,,,,,,,SHEIN Kimberly Loaiza Zip Side Leather Look Crop Leggings,15.0,,,,,No
174,swtee07201215679,,955,19,1,23,6,955,256,62,14,785,222,4,Elegant,"Pastel, Lilac Purple",Plain,Crop,,Stand Collar,Long Sleeve,Regular Sleeve,Pullovers,Lettuce Trim,Spring/Summer,"35% Cotton, 65% Polyester",Polyester,Slight Stretch,No,Slim Fit,,,,,,,,SHEIN Lettuce Edge Solid Crop Tee,3.99,,,,,
175,swtee07200822344,,955,19,1,23,6,66,13,62,14,785,222,4,Casual,White,Plain,Crop,,Stand Collar,Long Sleeve,Regular Sleeve,Pullovers,Lettuce Trim,Spring/Fall,"35% Cotton, 65% Polyester",Polyester,Slight Stretch,No,Slim Fit,,,,,,,,SHEIN Lettuce Edge Solid Crop Tee,3.99,,,,,
176,swtee07200925957,,955,19,1,23,6,66,13,62,14,785,222,4,Casual,Black,Plain,Crop,,Stand Collar,Long Sleeve,Regular Sleeve,Pullovers,"Lettuce Trim, Rib-Knit",Spring/Fall,"35% Cotton, 65% Polyester",Polyester,Slight Stretch,No,Slim Fit,,,,,,,,SHEIN Lettuce Edge Solid Crop Tee,3.99,,,,,
177,swtee07201107318,,727,1,0,7,2,22,7,44,5,653,105,4,Casual,Black,"Animal, Fire",Regular,,Stand Collar,Long Sleeve,Regular Sleeve,Pullovers,,Spring/Fall,"8% Spandex, 92% Polyester",Polyester,Slight Stretch,No,Slim Fit,,,,,,,,SHEIN Mock-Neck Chinese Dragon Print Top,3.99,,,,,
178,swjacket03201103989,,1167,4,0,9,2,41,5,62,11,1051,202,18,Casual,Black,"Plaid, Colorblock",Crop,Other,Collar,Long Sleeve,Drop Shoulder,,"Pocket, Button Front",Spring/Fall,100% Polyester,Corduroy,Non-Stretch,No,Regular Fit,,,,,,,,Contrast Plaid Crop Corduroy Jacket,15.0,,Single Breasted,,,
179,swjacket03200908384,,1167,4,0,9,2,41,5,62,11,1051,202,18,Casual,Multicolor,"Plaid, Colorblock",Crop,Other,Collar,Long Sleeve,Drop Shoulder,,"Pocket, Button Front",Fall/Winter,100% Polyester,Corduroy,Non-Stretch,No,Regular Fit,,,,,,,,Contrast Plaid Crop Corduroy Jacket,15.0,,Single Breasted,,,
180,swjacket03201203414,,1167,4,0,9,2,41,5,62,11,1051,202,18,Casual,Multicolor,"Plaid, Colorblock",Crop,Other,Collar,Long Sleeve,Bishop Sleeve,,"Pocket, Button Front",Spring/Fall,100% Polyester,Corduroy,Non-Stretch,No,Regular Fit,,,,,,,,Contrast Plaid Flap Pocket Crop Corduroy Jacket,15.0,,Single Breasted,,,
181,swjacket03201203422,,1167,4,0,9,2,41,5,62,11,1051,202,18,Casual,Army Green,"Plaid, Colorblock",Crop,Other,Collar,Long Sleeve,Bishop Sleeve,,"Pocket, Button Front",Fall/Winter,100% Polyester,Corduroy,Non-Stretch,No,Regular Fit,,,,,,,,Contrast Plaid Flap Pocket Crop Corduroy Jacket,15.0,,Single Breasted,,,
182,swjacket03201203188,,1167,4,0,9,2,41,5,62,11,1051,202,18,Casual,Dark Green,"Plaid, Colorblock",Crop,Other,Collar,Long Sleeve,Bishop Sleeve,,"Pocket, Button Front",Fall/Winter,100% Polyester,Corduroy,Non-Stretch,No,Regular Fit,,,,,,,,Contrast Plaid Flap Pocket Crop Corduroy Jacket,15.0,,Single Breasted,,,
183,swjacket03201203205,,1167,4,0,9,2,41,5,62,11,1051,202,18,Casual,Coffee Brown,"Plaid, Colorblock",Crop,Other,Collar,Long Sleeve,Bishop Sleeve,,"Pocket, Button Front",Fall/Winter,100% Polyester,Corduroy,Non-Stretch,No,Regular Fit,,,,,,,,Contrast Plaid Flap Pocket Crop Corduroy Jacket,15.0,,Single Breasted,,,
184,swvest07201217483,,44,0,0,0,0,0,0,0,0,44,6,4,Casual,Light Grey,"Letter, Figure",Crop,Cami,Spaghetti Strap,,,,Contrast Binding,Summer,"5% Spandex, 95% Cotton",Cotton,Slight Stretch,No,Slim Fit,,,,,,,,SHEIN Angel & Letter Graphic Crop Ringer Cami Top,4.0,,,,,
185,swvest07201203445,,47,0,0,0,0,0,0,3,1,44,7,4,Casual,Black and White,Tie Dye,Crop,Tank,Notched,,,,"Lettuce Trim, Rib-Knit",Summer,"5% Spandex, 95% Polyester",Polyester,Slight Stretch,No,Slim Fit,,,,,,,,SHEIN Tie Dye Lettuce Trim Rib-knit Crop Tank Top,4.0,,,,,
186,swvest07201126556,,95,0,0,0,0,0,0,2,0,93,15,3,Casual,Black and White,Zebra Stripe,Crop,Cami,Spaghetti Strap,,,,Lettuce Trim,Summer,"8% Spandex, 92% Polyester",Polyester,Slight Stretch,No,Slim Fit,,,,,,,,SHEIN Zebra Striped Lettuce Trim Crop Cami Top,3.0,,,,,
187,swtee07201205163,,92,0,0,1,0,1,0,8,1,82,13,6,Casual,Black,Animal,Crop,,Round Neck,Cap Sleeve,Regular Sleeve,Pullovers,,Summer,"5% Spandex, 95% Cotton",Cotton,Slight Stretch,No,Slim Fit,,,,,,,,SHEIN Chinese Dragon Print Crop Tee,4.99,,,,,
188,swsweatsh23201110161,,187,1,0,2,0,11,1,20,0,154,17,12,Casual,Light Grey,Letter,Regular,Pullovers,Round Neck,Long Sleeve,Drop Shoulder,,,Spring/Fall,"5% Spandex, 95% Polyester",Polyester,Slight Stretch,No,Regular Fit,,,,,,,,Letter Graphic Drop Shoulder Sweatshirt,9.99,,,,,
189,swleg44201124484,,0,0,0,0,0,0,0,0,0,0,0,8,Casual,Black,Plain,Cropped,Regular,,,,,,Spring/Summer/Fall,"95% Polyester, 5% Spandex",Polyester,High Stretch,No,,,,,,,,,High Waisted Cropped Leggings,7.0,,,,,
190,swtee07201204316,,203,3,0,0,0,8,2,14,5,179,15,6,Casual,Black,"Letter, Fire",Crop,,Round Neck,Cap Sleeve,Regular Sleeve,Pullovers,,Summer,"5% Spandex, 95% Cotton",Cotton,Slight Stretch,No,Slim Fit,,,,,,,,SHEIN Letter and Fire Print Tee,4.99,,,,,
191,swtee07201224593,,203,3,0,0,0,8,2,14,5,179,15,6,Casual,White,"Letter, Fire",Crop,,Round Neck,Cap Sleeve,Regular Sleeve,Pullovers,,Summer,"5% Spandex, 95% Cotton",Cotton,Slight Stretch,No,Slim Fit,,,,,,,,SHEIN Letter and Fire Print Tee,4.99,,,,,
192,swblouse23201208728,,480,2,0,7,1,16,1,36,4,419,49,17,Casual,Green,Plain,Regular,Shirt,Lapel,Long Sleeve,Drop Shoulder,Placket,"Pocket, Button Front",Spring/Fall,100% Polyester,Polyester,Non-Stretch,No,Regular Fit,,,,,,,,Lapel Collar Flap Pocket Button Front Blouse,14.0,,,,,
193,swblouse23201007875,,480,2,0,7,1,16,1,36,4,419,49,17,Casual,Ginger,Plain,Regular,Shirt,Lapel,Long Sleeve,Drop Shoulder,Placket,"Pocket, Button Front",Spring/Fall,100% Polyester,Polyester,Non-Stretch,No,Regular Fit,,,,,,,,Lapel Collar Flap Pocket Button Front Blouse,14.0,,,,,
194,swblouse23201113429,,480,2,0,7,1,16,1,36,4,419,49,17,Casual,Army Green,Plain,Regular,Shirt,Lapel,Long Sleeve,Drop Shoulder,Placket,"Pocket, Button Front",Spring/Fall,100% Polyester,Polyester,Non-Stretch,No,Regular Fit,,,,,,,,Lapel Collar Flap Pocket Button Front Blouse,14.0,,,,,
195,swblouse23201113079,,480,2,0,7,1,16,1,36,4,419,49,17,Elegant,Dusty Pink,Plain,Regular,Shirt,Lapel,Long Sleeve,Drop Shoulder,Placket,"Pocket, Button Front",Spring,100% Polyester,Polyester,Non-Stretch,No,Regular Fit,,,,,,,,Lapel Collar Flap Pocket Button Front Blouse,14.0,,,,,
196,swblouse23201113612,,480,2,0,7,1,16,1,36,4,419,49,17,Casual,Mocha Brown,Plain,Regular,Shirt,Lapel,Long Sleeve,Drop Shoulder,Placket,"Pocket, Button Front",Spring/Fall,100% Polyester,Polyester,Non-Stretch,No,Regular Fit,,,,,,,,Lapel Collar Flap Pocket Button Front Blouse,14.0,,,,,
197,swblouse23201113098,,480,2,0,7,1,480,1,36,4,419,49,17,Elegant,Burgundy,Plain,Regular,Shirt,Lapel,Long Sleeve,Drop Shoulder,Placket,"Pocket, Button Front",Spring/Fall,100% Polyester,Polyester,Non-Stretch,No,Regular Fit,,,,,,,,Lapel Collar Flap Pocket Button Front Blouse,14.0,,,,,
198,swtop03201209433,,5,0,0,0,0,0,0,0,0,5,1,14,Preppy,Multicolor,Geometric,Regular,,V neck,Sleeveless,,Pullovers,,Spring/Fall,"29% Acrylic, 17.4% Nylon, 53.6% Viscose",Viscose,Slight Stretch,No,Regular Fit,,,,,,,,Argyle Pattern Sweater Vest,12.0,,,,,
199,swtee44201218081,,3664,26,4,64,10,158,26,293,74,3123,547,7,Casual,Navy Blue,"Letter, Graphic",Long,,Round Neck,Half Sleeve,Drop Shoulder,Pullovers,,Summer,"5% Spandex, 95% Polyester",Polyester,High Stretch,No,Oversized,,,,,,,,Letter Graphic Oversized Tee,5.99,,,,,
200,swtee44200424434,,3664,26,4,64,10,158,26,293,74,3123,547,7,Casual,White,"Letter, Graphic",Long,,Round Neck,Short Sleeve,Drop Shoulder,Pullovers,,Summer,"5% Spandex, 95% Polyester",Polyester,High Stretch,No,Oversized,,,,,,,,Letter Graphic Oversized Tee,5.99,,,,,
201,swtee44201012512,,3664,26,4,64,10,158,26,293,74,3123,547,9,Casual,Black,"Letter, Graphic",Long,,Round Neck,Short Sleeve,Drop Shoulder,Pullovers,,Summer,"5% Spandex, 95% Polyester",Rayon,High Stretch,No,Oversized,,,,,,,,Letter Graphic Oversized Tee,7.99,,,,,
202,swtee44201218594,,3664,26,4,64,10,158,26,293,74,3123,547,7,Casual,Yellow,"Letter, Graphic",Long,,Round Neck,Short Sleeve,Drop Shoulder,Pullovers,,Summer,"5% Spandex, 95% Polyester",Polyester,High Stretch,No,Oversized,,,,,,,,Letter Graphic Oversized Tee,5.99,,,,,
203,swtop25201201402,,17,0,0,0,0,0,0,2,0,15,1,7,Casual,White,Plain,Crop,,Straps,Sleeveless,,Pullovers,,Spring/Fall,100% Viscose,Viscose,High Stretch,No,Slim Fit,,,,,,,,Solid Ribbed Knit Top,6.0,,,,,
204,swpants04201202553,,8,0,0,0,0,0,0,0,0,8,0,26,,Black,Fire,Long,Straight Leg,,,,,"Button, Pocket, Zipper",,"85% Cotton, 15% Polyester",Denim,Non-Stretch,No,Regular Fit,Zipper Fly,High Waist,,,,,,High Waist Fire Print Raw Hem Straight Leg Jeans,22.0,,,,,
205,swdress07201216827,,16,0,0,0,0,0,0,1,0,16,0,7,Casual,White,Ditsy Floral,Mini,Bodycon,Spaghetti Strap,Sleeveless,,,,Summer,"5% Spandex, 95% Polyester",Polyester,Slight Stretch,No,Slim Fit,,Natural,,,,,,SHEIN Ditsy Floral Print Dress,6.0,Pencil,,,,
206,swpants04201201389,,8767,128,13,140,23,272,60,460,139,7769,2352,23,,Grey,Plain,Long,Mom Fit,,,,,"Button, Pocket, Zipper",,"85% Cotton, 15% Polyester",Denim,Non-Stretch,No,Regular Fit,Zipper Fly,High Waist,,,,,,High-Waisted Mom Jeans,19.0,,,,,
207,swpants04190916923,,8767,128,13,140,23,272,60,460,139,7769,2352,18,,"Pastel, Light Wash",Plain,Long,Tapered/Carrot,,,,,"Button, Pocket, Zipper",,"85% Cotton, 15% Polyester",Denim,Non-Stretch,,Regular Fit,"Button Fly, Zipper Fly",High Waist,,,,,,Light Wash High-Waisted Mom Jeans Without Belt,15.0,,,,,No
208,swpants04201201288,,8767,128,13,140,23,272,60,460,139,7769,2352,23,,Dark Wash,Plain,Long,Mom Fit,,,,,"Button, Pocket, Zipper",,"85% Cotton, 15% Polyester",Denim,Non-Stretch,No,Regular Fit,Zipper Fly,High Waist,,,,,,High-Waisted Mom Jeans Without Belt,19.0,,,,,No
209,swsweatsh24201214287,,248,0,0,0,0,6,0,8,1,234,12,10,Casual,Black,Heart,Regular,Pullovers,Hooded,Long Sleeve,Drop Shoulder,,"Drawstring, Pocket",Fall/Winter,100% Polyester,Polyester,Slight Stretch,No,Regular Fit,,,,,,,,Heart Print Thermal Lined Hoodie,8.99,,,,,
210,swsweatsh24201214085,,248,0,0,0,0,6,0,8,1,234,12,10,Casual,Red,Heart,Regular,Pullovers,Hooded,Long Sleeve,Drop Shoulder,,"Drawstring, Pocket",Fall/Winter,100% Polyester,Polyester,Slight Stretch,No,Regular Fit,,,,,,,,Heart Print Thermal Lined Hoodie,8.99,,,,,
211,swsweatsh24201214260,,248,0,0,0,0,6,0,8,1,234,12,10,Casual,Grey,Heart,Regular,Pullovers,Hooded,Long Sleeve,Drop Shoulder,,"Drawstring, Pocket",Fall/Winter,100% Polyester,Polyester,Slight Stretch,No,Regular Fit,,,,,,,,Heart Print Thermal Lined Hoodie,8.99,,,,,
212,swdress07201223152,,9,0,0,0,0,0,0,1,0,9,0,6,Casual,Lime Green,Floral,Mini,Bodycon,Spaghetti Strap,Sleeveless,,,"Lettuce Trim, Rib-Knit",Summer,"5% Spandex, 95% Polyester",Polyester,Slight Stretch,No,Slim Fit,,Natural,,,,,,SHEIN Floral Lettuce Trim Bodycon Dress,5.0,Pencil,,,,
213,swvest07201208489,,1501,4,0,6,2,25,11,80,29,1387,471,4,Casual,Dusty Blue,Plain,Crop,Cami,Spaghetti Strap,,,,Rib-Knit,Summer,100% Cotton,Cotton,Slight Stretch,No,Slim Fit,,,,,,,,SHEIN Rib-knit Solid Crop Cami Top,4.0,,,,,
214,swvest07200810718,,1501,4,0,6,2,25,11,80,29,1387,471,4,Casual,Black,Plain,Crop,Cami,Spaghetti Strap,,,,Rib-Knit,Summer,100% Cotton,Cotton,Slight Stretch,No,Slim Fit,,,,,,,,SHEIN Rib-knit Solid Crop Cami Top,4.0,,,,,
215,swvest07201109761,,1501,4,0,6,2,25,11,80,29,1387,471,4,Casual,White,Plain,Crop,Cami,Spaghetti Strap,,,,Rib-Knit,Summer,100% Cotton,Cotton,Slight Stretch,No,Slim Fit,,,,,,,,SHEIN Rib-knit Solid Crop Cami Top,4.0,,,,,
216,swvest07201109138,,1501,4,0,6,2,25,11,80,29,1387,471,4,Casual,Brown,Plain,Crop,Cami,Spaghetti Strap,,,,Rib-Knit,Summer,100% Cotton,Cotton,Slight Stretch,No,Slim Fit,,,,,,,,SHEIN Rib-knit Solid Crop Cami Top,4.0,,,,,
217,swvest07201110796,,1501,4,0,6,2,25,11,80,29,1387,471,4,Casual,Light Grey,Plain,Crop,Cami,Spaghetti Strap,,,,Rib-Knit,Summer,100% Cotton,Cotton,Slight Stretch,No,Slim Fit,,,,,,,,SHEIN Rib-knit Solid Crop Cami Top,4.0,,,,,
218,swvest07201110518,,1501,4,0,6,2,25,11,80,29,1387,471,4,Casual,Maroon,Plain,Crop,Cami,Spaghetti Strap,,,,Rib-Knit,Summer,100% Cotton,Cotton,Slight Stretch,No,Slim Fit,,,,,,,,SHEIN Rib-knit Solid Crop Cami Top,4.0,,,,,
219,swouter44201012515,,3,0,0,0,0,0,0,0,0,3,0,21,Casual,Coffee Brown,Plain,Short,Other,Collar,Long Sleeve,Drop Shoulder,,"Pocket, Button Front",Fall/Winter,100% PU Leather,PU Leather,Non-Stretch,No,Regular Fit,,,,No,,,,Button Up PU Leather Coat,18.0,,Single Breasted,,,No
220,swsweater23201126190,,3733,24,3,43,9,136,29,327,73,3203,643,21,Casual,Multicolor,Colorblock,Regular,Pullovers,Round Neck,Long Sleeve,Drop Shoulder,Pullovers,,Spring/Fall,100% Acrylic,Acrylic,Slight Stretch,No,Regular Fit,,,,,,,,Color Block Drop Shoulder Sweater,18.0,,,,,
221,swsweater23200928941,,3733,24,3,43,9,3733,29,327,73,3203,643,21,Casual,Multicolor,Colorblock,Regular,Pullovers,Round Neck,Long Sleeve,Drop Shoulder,Pullovers,,Spring/Fall,100% Acrylic,Acrylic,Slight Stretch,No,Regular Fit,,,,,,,,Color Block Drop Shoulder Sweater,18.0,,,,,
222,swsweater23201017770,,3733,24,3,43,9,136,29,327,73,3203,643,21,Casual,Multicolor,Colorblock,Regular,Pullovers,Round Neck,Long Sleeve,Drop Shoulder,Pullovers,,Spring/Fall,100% Acrylic,Acrylic,Slight Stretch,No,Regular Fit,,,,,,,,Color Block Drop Shoulder Sweater,18.0,,,,,
223,swsweater23201017817,,3733,24,3,43,9,136,29,327,73,3203,643,21,Casual,Multicolor,Colorblock,Regular,Pullovers,Round Neck,Long Sleeve,Drop Shoulder,Pullovers,,Spring/Fall,100% Acrylic,Acrylic,Slight Stretch,No,Regular Fit,,,,,,,,Color Block Drop Shoulder Sweater,18.0,,,,,
224,swsweater23201017777,,3733,24,3,43,9,136,29,327,73,3203,643,21,Casual,Multicolor,Colorblock,Regular,Pullovers,Round Neck,Long Sleeve,Drop Shoulder,Pullovers,,Spring/Fall,100% Acrylic,Acrylic,Slight Stretch,No,Regular Fit,,,,,,,,Color Block Drop Shoulder Sweater,18.0,,,,,
225,swsweater23201104497,,3733,24,3,43,9,136,29,327,73,3203,643,21,Casual,Multicolor,Colorblock,Regular,Pullovers,Round Neck,Long Sleeve,Drop Shoulder,Pullovers,,Spring/Fall,100% Acrylic,Acrylic,Slight Stretch,No,Regular Fit,,,,,,,,Color Block Drop Shoulder Sweater,18.0,,,,,
226,swsweatsh04201205999,,103,0,0,0,0,1,0,10,2,92,10,12,Casual,Green,Letter,Regular,Pullovers,Round Neck,Long Sleeve,Drop Shoulder,,,Spring/Fall,100% Polyester,Polyester,Slight Stretch,No,Regular Fit,,,,,,,,Drop Shoulder Letter Graphic Pullover,10.0,,,,,
227,swsweatsh04201027459,,103,0,0,0,0,1,0,103,12,92,10,15,Casual,Army Green,Letter,Regular,Pullovers,Round Neck,Long Sleeve,Drop Shoulder,,Embroidery,Spring/Fall,100% Polyester,Polyester,Slight Stretch,No,Regular Fit,,,,,,,,Drop Shoulder Letter Graphic Pullover,12.99,,,,,
228,swsweatsh04201205448,,103,0,0,0,0,1,0,10,2,92,10,15,Casual,Black,Letter,Regular,Pullovers,Round Neck,Long Sleeve,Drop Shoulder,,,Spring/Fall,100% Polyester,Polyester,Slight Stretch,No,Regular Fit,,,,,,,,Drop Shoulder Letter Graphic Pullover,12.99,,,,,
229,swsweatsh04201205976,,103,0,0,0,0,1,0,10,2,92,10,15,Casual,Navy Blue,Letter,Regular,Pullovers,Round Neck,Long Sleeve,Drop Shoulder,,,Spring/Fall,100% Polyester,Polyester,Slight Stretch,No,Regular Fit,,,,,,,,Drop Shoulder Letter Graphic Pullover,12.99,,,,,
230,swsweatsh04201205850,,103,0,0,0,0,1,0,10,2,92,10,15,Casual,Apricot,Letter,Regular,Pullovers,Round Neck,Long Sleeve,Drop Shoulder,,,Spring/Fall,100% Polyester,Polyester,Slight Stretch,No,Regular Fit,,,,,,,,Drop Shoulder Letter Graphic Pullover,12.99,,,,,
231,swsweatsh04201205147,,103,0,0,0,0,1,0,10,2,92,10,15,Casual,"Pastel, Coral Pink",Letter,Regular,Pullovers,Round Neck,Long Sleeve,Drop Shoulder,,,Spring/Fall,100% Polyester,Polyester,Slight Stretch,No,Regular Fit,,,,,,,,Drop Shoulder Letter Graphic Pullover,12.99,,,,,
232,swvest07201113357,,204,1,1,2,0,4,0,13,2,184,24,4,Elegant,White,Ditsy Floral,Crop,Cami,Spaghetti Strap,,,,"Contrast Lace, Rib-Knit",Summer,"4% Spandex, 96% Polyester",Polyester,Slight Stretch,No,Slim Fit,,,,,,,,SHEIN Ditsy Floral Lace Detail Crop Cami Top,4.0,,,,,
233,swsweatsh01201215166,,2,0,0,0,0,2,0,0,0,1,0,12,Casual,Mint Green,Letter,Regular,Pullovers,Round Neck,Long Sleeve,Drop Shoulder,,,Spring/Fall,"3% Spandex, 97% Polyester",Polyester,Slight Stretch,No,Regular Fit,,,,,,,,Letter Graphic Drop Shoulder Sweatshirt,9.99,,,,,
234,swbodysui07201109191,,10000,0,0,0,0,0,0,0,0,9999,5804,8,Elegant,White,Plain,,Tee,High Neck,Long Sleeve,Regular Sleeve,,,Spring/Fall,"10% Spandex, 90% Polyester",Polyester,Slight Stretch,No,Skinny,,Natural,,,,,,SHEIN Rolled Neck Solid Fitted Bodysuit,7.0,,,,,
235,bodysuitmmc180817706,,10001,0,0,0,0,0,0,0,0,1,5805,8,Elegant,Black,Plain,,,High Neck,Long Sleeve,,,,Spring/Fall,"10% Spandex, 90% Polyester",,Slight Stretch,,Skinny,,Natural,,,,,,SHEIN Mock Neck Long Sleeve Bodysuit,7.0,,,,,
236,swbodysui07201109437,,10000,0,0,0,0,0,0,0,0,9999,5804,9,Elegant,Chocolate Brown,Plain,,Tee,High Neck,Long Sleeve,Regular Sleeve,,,Spring/Fall,"10% Spandex, 90% Polyester",Polyester,Slight Stretch,No,Skinny,,Natural,,,,,,SHEIN Rolled Neck Solid Fitted Bodysuit,8.0,,,,,
237,swtee07201208056,,58,0,0,0,0,0,0,2,1,56,3,12,Casual,Black,Halloween,Long,,Round Neck,Half Sleeve,Drop Shoulder,Pullovers,,Summer,"5% Spandex, 95% Cotton",Cotton,Slight Stretch,No,Oversized,,,,,,,,SHEIN Skull Print Tee,9.99,,,,,
238,swtee07201231021,,58,0,0,0,0,0,0,2,1,56,3,15,Casual,White,Halloween,Long,,Round Neck,Half Sleeve,Drop Shoulder,Pullovers,,Summer,"5% Spandex, 95% Cotton",Cotton,Slight Stretch,No,Oversized,,,,,,,,SHEIN Skull Print Tee,12.99,,,,,
